datetime,elapsed_seconds,event_sink_busy,event_sink_in_rate,event_sink_out_rate,feature_busy,feature_in_rate,feature_out_rate,filter_busy,filter_in_rate,filter_out_rate,grid_busy,grid_in_rate,grid_out_rate,grid_sink_busy,grid_sink_in_rate,grid_sink_out_rate,job_id,p_event_sink,p_feature,p_filter,p_grid,p_grid_sink,p_signal,p_source,phase_name,run_id,sample_index,signal_busy,signal_in_rate,signal_out_rate,source_busy,source_in_rate,source_out_rate,target_rate,timestamp
2026-03-30 19:05:40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,0,1.0,0.0,0.0,nan,0.0,0.0,6000,1774868740.0136273
2026-03-30 19:05:50,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,1,1.0,0.0,0.0,nan,0.0,0.0,6000,1774868750.0258791
2026-03-30 19:06:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,2,0.0,0.0,0.0,nan,0.0,0.0,6000,1774868760.0196807
2026-03-30 19:06:10,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,3,0.0,0.0,0.0,nan,0.0,0.0,6000,1774868770.042078
2026-03-30 19:06:20,40.0,0.029,140.5,0.0,0.0,141.28333333333333,141.28333333333333,0.1295,161.01666666666665,161.01666666666665,0.0,140.51666666666665,0.0,0.0,0.0,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,4,0.033,144.13333333333333,144.13333333333333,nan,0.0,166.05,6000,1774868780.016857
2026-03-30 19:06:30,50.0,0.056,682.3666666666667,0.0,0.0,405.18333333333334,405.18333333333334,0.3225,527.8333333333333,527.8333333333333,0.0,681.8333333333334,34.05,0.0,34.05,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,5,0.133,407.1333333333333,407.1333333333333,nan,0.0,535.0,6000,1774868790.0218701
2026-03-30 19:06:40,60.0,0.055,1029.5,0.0,0.0,683.4166666666666,683.4166666666666,0.43,1021.1833333333333,1021.1833333333333,0.0,1027.8666666666668,58.516666666666666,0.0,57.9,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,6,0.1795,684.4166666666667,684.4166666666667,nan,0.0,1027.3,6000,1774868800.0343888
2026-03-30 19:06:50,70.0,0.055,1029.5,0.0,0.0,1030.5833333333335,1030.5833333333335,0.5005,1579.7333333333333,1579.7333333333333,0.0,1027.8666666666668,58.516666666666666,0.0,57.9,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,7,0.212,1030.6833333333334,1030.6833333333334,nan,0.0,1585.9333333333334,6000,1774868810.0316432
2026-03-30 19:07:00,80.0,0.095,1380.15,0.0,0.0215,1381.0,1381.0,0.677,2217.2166666666662,2217.2166666666662,0.0345,1380.15,87.05,0.0,87.05,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,8,0.314,1383.9666666666667,1383.9666666666667,nan,0.0,2221.6,6000,1774868820.0162218
2026-03-30 19:07:10,90.0,0.132,1738.85,0.0,0.0465,1738.85,1738.85,0.835,2878.366666666667,2878.366666666667,0.0535,1736.65,115.15,0.0,113.75,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,9,0.394,1741.5500000000002,1741.5500000000002,nan,0.0,2882.5333333333333,6000,1774868830.0167325
2026-03-30 19:07:20,100.0,0.063,1963.3333333333333,0.0,0.043,1965.6333333333332,1965.6333333333332,0.876,3489.833333333333,3489.833333333333,0.0485,1962.8666666666668,143.85,0.0,143.85,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,10,0.3975,1963.1833333333334,1963.1833333333334,nan,0.0,3489.233333333333,6000,1774868840.0195878
2026-03-30 19:07:30,110.0,0.047,1998.5833333333333,0.0,0.0355,1999.7833333333333,1999.7833333333333,0.872,3966.7333333333336,3966.7333333333336,0.041,1998.7833333333333,165.48333333333335,0.0,165.48333333333332,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,11,0.3825,1999.15,1999.15,nan,0.0,3964.4333333333334,6000,1774868850.0148873
2026-03-30 19:07:40,120.0,0.043,2072.6,0.0,0.0355,2073.55,2073.55,0.875,4307.75,4307.75,0.0315,2073.5333333333333,180.01666666666665,0.0,180.01666666666668,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,12,0.3815,2073.55,2073.55,nan,0.0,4307.616666666667,6000,1774868860.015111
2026-03-30 19:07:50,130.0,0.042,2067.95,0.0,0.035,2068.3,2068.3,0.8815,4530.616666666667,4530.616666666667,0.033,2069.5833333333335,186.68333333333334,0.0,187.3,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,13,0.3805,2069.9,2069.9,nan,0.0,4530.533333333333,6000,1774868870.0133293
2026-03-30 19:08:00,140.0,0.041,2104.5666666666666,0.0,0.0345,2103.7166666666667,2103.7166666666667,0.877,4663.700000000001,4663.700000000001,0.0345,2103.3166666666666,195.4,0.0,194.28333333333333,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,14,0.3795,2102.4,2102.4,nan,0.0,4664.616666666667,6000,1774868880.0279126
2026-03-30 19:08:10,150.0,0.042,2140.233333333333,0.0,0.033,2142.95,2142.95,0.874,4753.883333333333,4753.883333333333,0.0345,2142.4333333333334,201.21666666666667,0.0,202.61666666666667,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,15,0.3835,2141.5166666666664,2141.5166666666664,nan,0.0,4755.033333333333,6000,1774868890.0111885
2026-03-30 19:08:20,160.0,0.041,2161.1833333333334,0.0,0.033,2162.2833333333333,2162.2833333333333,0.874,4765.283333333333,4765.283333333333,0.0345,2161.7833333333333,206.53333333333333,0.0,206.53333333333333,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,16,0.3855,2163.7166666666667,2163.7166666666667,nan,0.0,4767.8,6000,1774868900.0122936
2026-03-30 19:08:30,170.0,0.043,2204.6833333333334,0.0,0.0325,2206.3,2206.3,0.8745,4689.6,4689.6,0.035,2207.383333333333,203.98333333333335,0.0,203.98333333333332,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,17,0.3895,2207.133333333333,2207.133333333333,nan,0.0,4691.4,6000,1774868910.0178416
2026-03-30 19:08:40,180.0,0.04,2190.983333333333,0.0,0.034,2189.95,2189.95,0.873,4641.166666666666,4641.166666666666,0.0355,2190.7666666666664,206.73333333333335,0.0,206.73333333333332,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,18,0.3935,2189.3500000000004,2189.3500000000004,nan,0.0,4639.15,6000,1774868920.0248039
2026-03-30 19:08:50,190.0,0.104,2075.9333333333334,0.0,0.0345,2091.6666666666665,2091.6666666666665,0.8545,4488.416666666667,4488.416666666667,0.0355,2092.4166666666665,207.2,0.0,206.8,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,19,0.3845,2091.5833333333335,2091.5833333333335,nan,0.0,4482.450000000001,6000,1774868930.0220735
2026-03-30 19:09:00,200.0,0.203,1940.95,0.0,0.0315,1941.3666666666668,1941.3666666666668,0.828,4311.333333333334,4311.333333333334,0.035,1939.5666666666666,198.56666666666666,0.0,198.9,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,20,0.3605,1940.5,1940.5,nan,0.0,4311.583333333334,6000,1774868940.0195282
2026-03-30 19:09:10,210.0,0.314,1791.3666666666666,0.0,0.0295,1789.5833333333335,1789.5833333333335,0.8025,4162.45,4162.45,0.034,1791.3666666666668,193.5,0.0,191.96666666666667,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,21,0.3405,1789.3166666666666,1789.3166666666666,nan,0.0,4162.083333333334,6000,1774868950.0120544
2026-03-30 19:09:20,220.0,0.34,1331.85,0.0,0.0195,1329.0333333333333,1329.0333333333333,0.8025,3310.75,3310.75,0.0085,1329.15,160.7,0.0,160.7,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,22,0.2495,1326.8833333333332,1326.8833333333332,nan,0.0,4162.083333333334,6000,1774868960.0104082
2026-03-30 19:09:30,230.0,0.324,994.35,0.0,0.008,993.3833333333333,993.3833333333333,0.474,2524.8166666666666,2524.8166666666666,0.0,994.1666666666666,124.55000000000001,0.0,124.55,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,23,0.1685,992.9833333333333,992.9833333333333,nan,0.0,3304.0833333333335,6000,1774868970.0113835
2026-03-30 19:09:40,240.0,0.245,800.6833333333333,0.0,0.0,785.6166666666667,785.6166666666667,0.474,2524.8166666666666,2524.8166666666666,0.0,782.2166666666667,96.16666666666666,0.0,96.56666666666666,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,24,0.1685,784.45,784.45,nan,0.0,2520.85,6000,1774868980.0155203
2026-03-30 19:09:50,250.0,0.245,800.6833333333333,0.0,0.0,785.6166666666667,785.6166666666667,0.349,1989.5,1989.5166666666667,0.0,782.2166666666667,96.16666666666666,0.0,96.56666666666666,0.0,1a814ead3662c0c407a5ebb4d417f3b5,1,2,2,2,1,2,2,恒定高负载,C1_run01_20260330_190524,25,0.108,784.45,784.45,nan,0.0,1994.35,6000,1774868990.014098
