timestamp,round_id,phase,theta,features,j_total,j_parts,is_valid,reason
1774700128.4506319,0,warmup,"{""checkpoint_interval"": 30000.0, ""buffer_timeout"": 100.0, ""watermark_delay"": 5000.0}","{""avg_input_rate"": 3929.525, ""peak_input_rate"": 3936.9333333333334, ""input_cv"": 0.004603568521140156, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.073325, ""max_busy_ratio"": 0.19187500000000002, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.12775245134888844, ""e2e_latency_p99_ms"": 206.0, ""checkpoint_avg_dur"": 405.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.01664395729557423, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9999045769245369, ""l3_occupancy"": 0.5}",0.18297229166666668,"{""f_latency"": 0.0412, ""f_throughput"": 0.0176, ""f_checkpoint"": 0.081, ""f_resource"": 0.7556, ""j_total"": 0.182972}",1,
1774700602.8930883,1,warmup,"{""checkpoint_interval"": 20000, ""buffer_timeout"": 10, ""watermark_delay"": 1000}","{""avg_input_rate"": 5759.466666666667, ""peak_input_rate"": 6470.416666666666, ""input_cv"": 0.0780245147107605, ""active_node_count"": 0.0, ""avg_backlog"": 2.9375, ""avg_busy_ratio"": 0.31172500000000003, ""max_busy_ratio"": 0.79825, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.2251690309599968, ""e2e_latency_p99_ms"": 130.0, ""checkpoint_avg_dur"": 414.5, ""backpressure_ratio"": 0.0005, ""l2_hit_rate"": 0.06599356473216825, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998748931917969, ""l3_occupancy"": 0.5}",0.029351666666666693,"{""f_latency"": 0.026, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0829, ""f_resource"": 0.0391, ""j_total"": 0.029352}",1,
1774701064.1333733,2,warmup,"{""checkpoint_interval"": 30000, ""buffer_timeout"": 220, ""watermark_delay"": 12000}","{""avg_input_rate"": 3945.4833333333336, ""peak_input_rate"": 4223.8166666666675, ""input_cv"": 0.029706582245148258, ""active_node_count"": 0.0, ""avg_backlog"": 3.71875, ""avg_busy_ratio"": 0.24445, ""max_busy_ratio"": 0.74025, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.3455092040383434, ""e2e_latency_p99_ms"": 444.25, ""checkpoint_avg_dur"": 740.5, ""backpressure_ratio"": 0.002, ""l2_hit_rate"": 0.0525484444840732, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998792427820289, ""l3_occupancy"": 0.5}",0.1848328807451307,"{""f_latency"": 0.0888, ""f_throughput"": 0.315, ""f_checkpoint"": 0.1481, ""f_resource"": 0.1852, ""j_total"": 0.184833}",1,
1774701525.495702,3,warmup,"{""checkpoint_interval"": 90000, ""buffer_timeout"": 470, ""watermark_delay"": 6000}","{""avg_input_rate"": 3937.9666666666667, ""peak_input_rate"": 3940.3500000000004, ""input_cv"": 0.0004891759609654509, ""active_node_count"": 0.0, ""avg_backlog"": 3.28125, ""avg_busy_ratio"": 0.09972916666666667, ""max_busy_ratio"": 0.1855, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.3847461806403266, ""e2e_latency_p99_ms"": 694.25, ""checkpoint_avg_dur"": 239.5, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.0084063758674001, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998897215604807, ""l3_occupancy"": 0.5}",0.2841749656089556,"{""f_latency"": 0.1389, ""f_throughput"": 0.3163, ""f_checkpoint"": 0.0479, ""f_resource"": 0.6676, ""j_total"": 0.284175}",1,
1774701995.725987,4,warmup,"{""checkpoint_interval"": 40000, ""buffer_timeout"": 260, ""watermark_delay"": 11000}","{""avg_input_rate"": 3911.4083333333333, ""peak_input_rate"": 4567.616666666667, ""input_cv"": 0.18489728656360416, ""active_node_count"": 0.0, ""avg_backlog"": 3.53125, ""avg_busy_ratio"": 0.12330625, ""max_busy_ratio"": 0.319125, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.32879167941106013, ""e2e_latency_p99_ms"": 424.0, ""checkpoint_avg_dur"": 102.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.01258996673682243, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998852592294472, ""l3_occupancy"": 0.5}",0.2467977846714202,"{""f_latency"": 0.0848, ""f_throughput"": 0.3209, ""f_checkpoint"": 0.0204, ""f_resource"": 0.589, ""j_total"": 0.246798}",1,
1774702730.6317472,5,warmup,"{""checkpoint_interval"": 85000, ""buffer_timeout"": 80, ""watermark_delay"": 8000}","{""avg_input_rate"": 3870.225, ""peak_input_rate"": 3983.5666666666666, ""input_cv"": 0.16298542502029698, ""active_node_count"": 0.0, ""avg_backlog"": 4.59375, ""avg_busy_ratio"": 0.41215, ""max_busy_ratio"": 0.847, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.32936036294911986, ""e2e_latency_p99_ms"": 1411.5, ""checkpoint_avg_dur"": 7388.0, ""backpressure_ratio"": 0.005, ""l2_hit_rate"": 0.025251187836124754, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9999093276302867, ""l3_occupancy"": 0.5}",0.49361878190881875,"{""f_latency"": 0.2823, ""f_throughput"": 0.328, ""f_checkpoint"": 1.4776, ""f_resource"": 0.3738, ""j_total"": 0.493619}",1,
1774706697.687601,6,optimize,"{""checkpoint_interval"": 25000, ""buffer_timeout"": 50, ""watermark_delay"": 2000}","{""avg_input_rate"": 3939.7250000000004, ""peak_input_rate"": 3942.5, ""input_cv"": 0.0005095300192155933, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.08077500000000001, ""max_busy_ratio"": 0.203125, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.13831650739335744, ""e2e_latency_p99_ms"": 120.5, ""checkpoint_avg_dur"": 154.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.009867220936359404, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.999908556466125, ""l3_occupancy"": 0.5}",0.16372562499999996,"{""f_latency"": 0.0241, ""f_throughput"": 0.0151, ""f_checkpoint"": 0.0308, ""f_resource"": 0.7307, ""j_total"": 0.163726}",1,
1774707355.27039,7,warmup,"{""checkpoint_interval"": 115000, ""buffer_timeout"": 400, ""watermark_delay"": 14000}","{""avg_input_rate"": 5037.183333333333, ""peak_input_rate"": 5168.283333333333, ""input_cv"": 0.02833534220125207, ""active_node_count"": 0.0, ""avg_backlog"": 3.71875, ""avg_busy_ratio"": 0.205, ""max_busy_ratio"": 0.676875, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.39163633389661545, ""e2e_latency_p99_ms"": 719.25, ""checkpoint_avg_dur"": 1007.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.052932567718097005, ""l2_occupancy"": 0.7375, ""l3_hit_rate"": 0.9998184951587665, ""l3_occupancy"": 0.5}",0.14389083333333333,"{""f_latency"": 0.1439, ""f_throughput"": 0.0, ""f_checkpoint"": 0.2014, ""f_resource"": 0.3167, ""j_total"": 0.143891}",1,
1774707817.693868,8,optimize,"{""checkpoint_interval"": 15000, ""buffer_timeout"": 300, ""watermark_delay"": 9000}","{""avg_input_rate"": 5930.016666666666, ""peak_input_rate"": 6669.716666666667, ""input_cv"": 0.23622553106518412, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.11193333333333334, ""max_busy_ratio"": 0.2845, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.30864827646374027, ""e2e_latency_p99_ms"": 457.25, ""checkpoint_avg_dur"": 229.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.0493617711220308, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9999180741244891, ""l3_occupancy"": 0.5}",0.1642552777777778,"{""f_latency"": 0.0915, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0458, ""f_resource"": 0.6269, ""j_total"": 0.164255}",1,
1774708283.0318358,9,optimize,"{""checkpoint_interval"": 10000, ""buffer_timeout"": 20, ""watermark_delay"": 2000}","{""avg_input_rate"": 6072.291666666666, ""peak_input_rate"": 6547.016666666666, ""input_cv"": 0.1943728466892854, ""active_node_count"": 0.0, ""avg_backlog"": 2.84375, ""avg_busy_ratio"": 0.28745, ""max_busy_ratio"": 0.8465, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.2941867411697876, ""e2e_latency_p99_ms"": 137.0, ""checkpoint_avg_dur"": 368.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.10057437242575917, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9996996787099124, ""l3_occupancy"": 0.5}",0.02899666666666667,"{""f_latency"": 0.0274, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0736, ""f_resource"": 0.0418, ""j_total"": 0.028997}",1,
