timestamp,round_id,phase,theta,features,j_total,j_parts,is_valid,reason
1774676807.4467683,0,warmup,"{""checkpoint_interval"": 30000.0, ""buffer_timeout"": 100.0, ""watermark_delay"": 5000.0}","{""avg_input_rate"": 3940.241666666667, ""peak_input_rate"": 4103.083333333334, ""input_cv"": 0.08579259001646328, ""active_node_count"": 0.0, ""avg_backlog"": 2.3125, ""avg_busy_ratio"": 0.129125, ""max_busy_ratio"": 0.31174999999999997, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.39551979449284724, ""e2e_latency_p99_ms"": 221.5, ""checkpoint_avg_dur"": 492.5, ""backpressure_ratio"": 0.0005, ""l2_hit_rate"": 0.018913475699964252, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998853088496291, ""l3_occupancy"": 0.5}",0.19503110576923077,"{""f_latency"": 0.0443, ""f_throughput"": 0.0149, ""f_checkpoint"": 0.0985, ""f_resource"": 0.8013, ""j_total"": 0.195031}",1,
1774677277.060558,1,warmup,"{""checkpoint_interval"": 20000, ""buffer_timeout"": 10, ""watermark_delay"": 1000}","{""avg_input_rate"": 3936.7333333333336, ""peak_input_rate"": 3941.2166666666667, ""input_cv"": 0.00047479989170959465, ""active_node_count"": 0.0, ""avg_backlog"": 1.5625, ""avg_busy_ratio"": 0.0977, ""max_busy_ratio"": 0.20825, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.3825951367897278, ""e2e_latency_p99_ms"": 36.5, ""checkpoint_avg_dur"": 55.5, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.00302665267140104, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9999068781023358, ""l3_occupancy"": 0.5}",0.1789034615384615,"{""f_latency"": 0.0073, ""f_throughput"": 0.0158, ""f_checkpoint"": 0.0111, ""f_resource"": 0.8497, ""j_total"": 0.178903}",1,
1774677746.8033745,2,warmup,"{""checkpoint_interval"": 30000, ""buffer_timeout"": 220, ""watermark_delay"": 12000}","{""avg_input_rate"": 3953.6416666666664, ""peak_input_rate"": 4202.85, ""input_cv"": 0.021284833439819694, ""active_node_count"": 0.0, ""avg_backlog"": 2.40625, ""avg_busy_ratio"": 0.22615000000000002, ""max_busy_ratio"": 0.645625, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.46641012863475273, ""e2e_latency_p99_ms"": 484.75, ""checkpoint_avg_dur"": 450.0, ""backpressure_ratio"": 0.001, ""l2_hit_rate"": 0.0606761471879017, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998857091559917, ""l3_occupancy"": 0.5}",0.18132475961538463,"{""f_latency"": 0.0969, ""f_throughput"": 0.0116, ""f_checkpoint"": 0.09, ""f_resource"": 0.6521, ""j_total"": 0.181325}",1,
1774678216.458282,3,warmup,"{""checkpoint_interval"": 90000, ""buffer_timeout"": 470, ""watermark_delay"": 6000}","{""avg_input_rate"": 3940.45, ""peak_input_rate"": 3941.6499999999996, ""input_cv"": 0.0006142880676464426, ""active_node_count"": 0.0, ""avg_backlog"": 1.96875, ""avg_busy_ratio"": 0.10649999999999998, ""max_busy_ratio"": 0.2425, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.42421934339735246, ""e2e_latency_p99_ms"": 648.0, ""checkpoint_avg_dur"": 99.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.020466522260241943, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998836283482451, ""l3_occupancy"": 0.5}",0.22002701923076928,"{""f_latency"": 0.1296, ""f_throughput"": 0.0149, ""f_checkpoint"": 0.0198, ""f_resource"": 0.8362, ""j_total"": 0.220027}",1,
1774678694.2831838,4,warmup,"{""checkpoint_interval"": 40000, ""buffer_timeout"": 260, ""watermark_delay"": 11000}","{""avg_input_rate"": 3938.65, ""peak_input_rate"": 3940.883333333333, ""input_cv"": 0.00039566549418833605, ""active_node_count"": 0.0, ""avg_backlog"": 2.125, ""avg_busy_ratio"": 0.07656249999999999, ""max_busy_ratio"": 0.1755, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.3854649331834581, ""e2e_latency_p99_ms"": 485.5, ""checkpoint_avg_dur"": 52.5, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.0011046193473753401, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998937795403817, ""l3_occupancy"": 0.5}",0.21660355769230774,"{""f_latency"": 0.0971, ""f_throughput"": 0.0153, ""f_checkpoint"": 0.0105, ""f_resource"": 0.8822, ""j_total"": 0.216604}",1,
1774679171.8049223,5,warmup,"{""checkpoint_interval"": 85000, ""buffer_timeout"": 80, ""watermark_delay"": 8000}","{""avg_input_rate"": 4080.208333333333, ""peak_input_rate"": 4725.25, ""input_cv"": 0.07581965593319949, ""active_node_count"": 0.0, ""avg_backlog"": 2.65625, ""avg_busy_ratio"": 0.24182499999999996, ""max_busy_ratio"": 0.62875, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.4761348201730157, ""e2e_latency_p99_ms"": 252.25, ""checkpoint_avg_dur"": 930.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.08099164367123797, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998624035518006, ""l3_occupancy"": 0.5}",0.17114980769230773,"{""f_latency"": 0.0505, ""f_throughput"": 0.0, ""f_checkpoint"": 0.186, ""f_resource"": 0.628, ""j_total"": 0.17115}",1,
1774679642.1808114,6,warmup,"{""checkpoint_interval"": 65000, ""buffer_timeout"": 290, ""watermark_delay"": 5000}","{""avg_input_rate"": 3942.1833333333334, ""peak_input_rate"": 3944.8333333333335, ""input_cv"": 0.0007137991666040097, ""active_node_count"": 0.0, ""avg_backlog"": 2.34375, ""avg_busy_ratio"": 0.12865000000000001, ""max_busy_ratio"": 0.36975, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.27954387574995077, ""e2e_latency_p99_ms"": 478.5, ""checkpoint_avg_dur"": 152.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.003303122241112202, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9999099752705605, ""l3_occupancy"": 0.5}",0.2086187634767581,"{""f_latency"": 0.0957, ""f_throughput"": 0.0338, ""f_checkpoint"": 0.0304, ""f_resource"": 0.8021, ""j_total"": 0.208619}",1,
1774680112.7050855,7,warmup,"{""checkpoint_interval"": 115000, ""buffer_timeout"": 400, ""watermark_delay"": 14000}","{""avg_input_rate"": 3939.675, ""peak_input_rate"": 3944.8, ""input_cv"": 0.0076458295578407534, ""active_node_count"": 0.0, ""avg_backlog"": 2.15625, ""avg_busy_ratio"": 0.114125, ""max_busy_ratio"": 0.20387499999999997, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.3339731958177355, ""e2e_latency_p99_ms"": 548.5, ""checkpoint_avg_dur"": 253.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.00036166789336471015, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998180725343857, ""l3_occupancy"": 0.5}",0.2212024211032776,"{""f_latency"": 0.1097, ""f_throughput"": 0.0344, ""f_checkpoint"": 0.0506, ""f_resource"": 0.8244, ""j_total"": 0.221202}",1,
1774680578.2013328,8,optimize,"{""checkpoint_interval"": 80000, ""buffer_timeout"": 10, ""watermark_delay"": 9000}","{""avg_input_rate"": 3932.3, ""peak_input_rate"": 3968.55, ""input_cv"": 0.0104734180997355, ""active_node_count"": 0.0, ""avg_backlog"": 2.40625, ""avg_busy_ratio"": 0.35392500000000005, ""max_busy_ratio"": 0.643125, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.37332579959359324, ""e2e_latency_p99_ms"": 199.5, ""checkpoint_avg_dur"": 597.5, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.05718737460586469, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9997615126199602, ""l3_occupancy"": 0.5}",0.1338650574419198,"{""f_latency"": 0.0399, ""f_throughput"": 0.0363, ""f_checkpoint"": 0.1195, ""f_resource"": 0.4555, ""j_total"": 0.133865}",1,
1774681048.5933144,9,optimize,"{""checkpoint_interval"": 110000, ""buffer_timeout"": 70, ""watermark_delay"": 11000}","{""avg_input_rate"": 3937.6499999999996, ""peak_input_rate"": 3940.4, ""input_cv"": 0.00037566066852665254, ""active_node_count"": 0.0, ""avg_backlog"": 2.15625, ""avg_busy_ratio"": 0.123225, ""max_busy_ratio"": 0.31025, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.5122480437355975, ""e2e_latency_p99_ms"": 173.5, ""checkpoint_avg_dur"": 78.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.0013876748451583402, ""l2_occupancy"": 1.0, ""l3_hit_rate"": 0.9998068768519822, ""l3_occupancy"": 0.5}",0.18705131055949412,"{""f_latency"": 0.0347, ""f_throughput"": 0.0349, ""f_checkpoint"": 0.0156, ""f_resource"": 0.8104, ""j_total"": 0.187051}",1,
