timestamp,round_id,phase,theta,features,j_total,j_parts,is_valid,reason
1774596840.3808043,0,warmup,"{""checkpoint_interval"": 30000.0, ""buffer_timeout"": 100.0, ""watermark_delay"": 5000.0}","{""avg_input_rate"": 756.5833333333334, ""peak_input_rate"": 761.3, ""input_cv"": 0.0032447576552228612, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.027541666666666666, ""max_busy_ratio"": 0.04375, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.13826853721604285, ""e2e_latency_p99_ms"": 209.75, ""checkpoint_avg_dur"": 62.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.10801167487162167, ""l2_occupancy"": 0.6697916666666667, ""l3_hit_rate"": 0.999801864235869, ""l3_occupancy"": 0.5}",0.16273821428571425,"{""f_latency"": 0.042, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0124, ""f_resource"": 0.9607, ""j_total"": 0.162738}",1,
1774597271.217393,1,warmup,"{""checkpoint_interval"": 15000, ""buffer_timeout"": 1, ""watermark_delay"": 1000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 1763.1833333333332, ""input_cv"": 0.3497196230607875, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.04689583333333333, ""max_busy_ratio"": 0.0815, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.23970042334662545, ""e2e_latency_p99_ms"": 92.0, ""checkpoint_avg_dur"": 220.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.15468679406523672, ""l2_occupancy"": 0.6541666666666666, ""l3_hit_rate"": 0.9998987575052383, ""l3_occupancy"": 0.5}",0.15391089285714285,"{""f_latency"": 0.0184, ""f_throughput"": 0.0, ""f_checkpoint"": 0.044, ""f_resource"": 0.933, ""j_total"": 0.153911}",1,
1774597701.7839646,2,warmup,"{""checkpoint_interval"": 25000, ""buffer_timeout"": 90, ""watermark_delay"": 24000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 763.3333333333333, ""input_cv"": 0.0017528483786152101, ""active_node_count"": 0.0, ""avg_backlog"": 2.65625, ""avg_busy_ratio"": 0.027854166666666666, ""max_busy_ratio"": 0.0635, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.35523548593179877, ""e2e_latency_p99_ms"": 214.5, ""checkpoint_avg_dur"": 122.5, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.10898728131521278, ""l2_occupancy"": 0.8614583333333333, ""l3_hit_rate"": 0.9980298574524531, ""l3_occupancy"": 0.5}",0.16486625,"{""f_latency"": 0.0429, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0245, ""f_resource"": 0.9602, ""j_total"": 0.164866}",1,
1774598132.391483,3,warmup,"{""checkpoint_interval"": 90000, ""buffer_timeout"": 190, ""watermark_delay"": 11000}","{""avg_input_rate"": 756.2833333333333, ""peak_input_rate"": 763.05, ""input_cv"": 0.005233821595717679, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.026166666666666668, ""max_busy_ratio"": 0.039625, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.3273273573981391, ""e2e_latency_p99_ms"": 440.5, ""checkpoint_avg_dur"": 27.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.1084003592406591, ""l2_occupancy"": 0.7802083333333334, ""l3_hit_rate"": 0.9998560884824709, ""l3_occupancy"": 0.5}",0.18190996240601504,"{""f_latency"": 0.0881, ""f_throughput"": 0.0049, ""f_checkpoint"": 0.0054, ""f_resource"": 0.9626, ""j_total"": 0.18191}",1,
1774598562.865577,4,warmup,"{""checkpoint_interval"": 40000, ""buffer_timeout"": 100, ""watermark_delay"": 22000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 760.0, ""input_cv"": 0.0, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.0345, ""max_busy_ratio"": 0.054, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.2861591965914222, ""e2e_latency_p99_ms"": 247.5, ""checkpoint_avg_dur"": 230.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.11277110915458655, ""l2_occupancy"": 0.6291666666666667, ""l3_hit_rate"": 0.9991341837730006, ""l3_occupancy"": 0.4675}",0.16930714285714285,"{""f_latency"": 0.0495, ""f_throughput"": 0.0, ""f_checkpoint"": 0.046, ""f_resource"": 0.9507, ""j_total"": 0.169307}",1,
1774598997.3181589,5,warmup,"{""checkpoint_interval"": 85000, ""buffer_timeout"": 30, ""watermark_delay"": 15000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 760.0, ""input_cv"": 0.0, ""active_node_count"": 0.0, ""avg_backlog"": 3.09375, ""avg_busy_ratio"": 0.0351875, ""max_busy_ratio"": 0.056875, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.43310413522235414, ""e2e_latency_p99_ms"": 119.75, ""checkpoint_avg_dur"": 167.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.10920162870101374, ""l2_occupancy"": 0.634375, ""l3_hit_rate"": 0.9992882301472747, ""l3_occupancy"": 0.5}",0.1570498214285714,"{""f_latency"": 0.0239, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0334, ""f_resource"": 0.9497, ""j_total"": 0.15705}",1,
1774599427.9655027,6,warmup,"{""checkpoint_interval"": 65000, ""buffer_timeout"": 120, ""watermark_delay"": 9000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 760.0, ""input_cv"": 0.24161157206569348, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.0148125, ""max_busy_ratio"": 0.01825, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.34910525395596315, ""e2e_latency_p99_ms"": 276.75, ""checkpoint_avg_dur"": 71.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.11024821277747722, ""l2_occupancy"": 0.7114583333333333, ""l3_hit_rate"": 0.9998331002656525, ""l3_occupancy"": 0.5}",0.17109589285714286,"{""f_latency"": 0.0554, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0142, ""f_resource"": 0.9788, ""j_total"": 0.171096}",1,
1774599862.4598594,7,warmup,"{""checkpoint_interval"": 115000, ""buffer_timeout"": 160, ""watermark_delay"": 29000}","{""avg_input_rate"": 1001.6083333333335, ""peak_input_rate"": 3232.3, ""input_cv"": 0.6780504306648537, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.20678333333333332, ""max_busy_ratio"": 0.400875, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.2322882851638363, ""e2e_latency_p99_ms"": 324.0, ""checkpoint_avg_dur"": 2084.0, ""backpressure_ratio"": 0.015, ""l2_hit_rate"": 0.1524578488296217, ""l2_occupancy"": 0.621875, ""l3_hit_rate"": 0.9979404124962186, ""l3_occupancy"": 0.5}",0.1941292857142857,"{""f_latency"": 0.0648, ""f_throughput"": 0.0, ""f_checkpoint"": 0.4168, ""f_resource"": 0.7046, ""j_total"": 0.194129}",1,
1774603407.5431945,8,optimize,"{""checkpoint_interval"": 50000, ""buffer_timeout"": 190, ""watermark_delay"": 30000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 760.0, ""input_cv"": 0.0, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.009458333333333332, ""max_busy_ratio"": 0.011125, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.14306670797746734, ""e2e_latency_p99_ms"": 425.5, ""checkpoint_avg_dur"": 133.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.10872887949616508, ""l2_occupancy"": 0.596875, ""l3_hit_rate"": 0.999752933518095, ""l3_occupancy"": 0.5}",0.18600321428571429,"{""f_latency"": 0.0851, ""f_throughput"": 0.0, ""f_checkpoint"": 0.0266, ""f_resource"": 0.9865, ""j_total"": 0.186003}",1,
1774603842.882918,9,optimize,"{""checkpoint_interval"": 20000, ""buffer_timeout"": 180, ""watermark_delay"": 6000}","{""avg_input_rate"": 760.0, ""peak_input_rate"": 1790.65, ""input_cv"": 0.42671276122260987, ""active_node_count"": 0.0, ""avg_backlog"": 3.5, ""avg_busy_ratio"": 0.03470833333333334, ""max_busy_ratio"": 0.067875, ""total_parallelism"": 22.0, ""heap_usage_ratio"": 0.287379290873497, ""e2e_latency_p99_ms"": 422.75, ""checkpoint_avg_dur"": 375.0, ""backpressure_ratio"": 0.0, ""l2_hit_rate"": 0.1474369696649897, ""l2_occupancy"": 0.7072916666666667, ""l3_hit_rate"": 0.9998895889008169, ""l3_occupancy"": 0.5}",0.1876325,"{""f_latency"": 0.0846, ""f_throughput"": 0.0, ""f_checkpoint"": 0.075, ""f_resource"": 0.9504, ""j_total"": 0.187633}",1,
