timestamp,second,throughput,l2_hit_rate,anomaly_rate,avg_peak_amplitude
1772802450407,1,38400,0.1996,0.0000,655359.00
1772802451407,2,34835,0.1880,0.0000,655359.00
1772802452408,3,971,0.2101,0.0000,655359.00
1772802453409,4,833,0.2365,0.0000,655359.00
1772802454410,5,988,0.1832,0.0000,655359.00
1772802455411,6,1018,0.2220,0.0000,655359.00
1772802456412,7,1099,0.2348,0.0000,655359.00
1772802457412,8,1062,0.1601,0.0000,655359.00
1772802458413,9,1026,0.2173,0.0000,655359.00
1772802459414,10,1061,0.2092,0.0000,655359.00
1772802460415,11,1035,0.2087,0.0000,655359.00
1772802461415,12,944,0.2140,0.0000,655359.00
1772802462416,13,1105,0.2018,0.0000,655359.00
1772802463416,14,999,0.1842,0.0000,655359.00
1772802464418,15,917,0.2039,0.0000,655359.00
